domain,name,source
abnamro.nl,ABN Amro,https://www.bank.nl/banken/
anadolubank.nl,Anadolubank,https://www.bank.nl/banken/
asnbank.nl,ASN Bank,https://www.bank.nl/banken/
ayvensbank.nl,Ayvens Bank,https://www.bank.nl/banken/
brandnewday.nl,Brand New Day,https://www.bank.nl/banken/
bunq.com,Bunq,https://www.bank.nl/banken/
buut.com,BUUT,https://www.bank.nl/banken/
centraalbeheer.nl,Centraal Beheer,https://www.bank.nl/banken/
dhbbank.com,DHB Bank,https://www.bank.nl/banken/
garantibank.nl,GarantiBank,https://www.bank.nl/banken/
godutch.com,GoDutch,https://www.bank.nl/banken/
ing.nl,ING Bank,https://www.bank.nl/banken/
nn.nl,Nationale-Nederlanden Bank,https://www.bank.nl/banken/
nexentbank.nl,Nexent Bank,https://www.bank.nl/banken/
nibc.nl,NIBC Bank,https://www.bank.nl/banken/
rabobank.nl,Rabobank,https://www.bank.nl/banken/
regiobank.nl,RegioBank,https://www.bank.nl/banken/
sns.nl,SNS Bank,https://www.bank.nl/banken/
triodos.nl,Triodos Bank,https://www.bank.nl/banken/
vanlanschot.nl,Van Lanschot,https://www.bank.nl/banken/
yapikredi.nl,Yapi Kredi Bank Nederland,https://www.bank.nl/banken/
bngbank.nl,BNG Bank,https://www.banken.nl/bank
bnpparibas.nl,BNP Paribas Bank Nederland,https://www.banken.nl/bank
handelsbanken.nl,Handelsbanken,https://www.banken.nl/bank
nwbbank.com,Nederlandse Waterschapsbank (NWB Bank),https://nl.wikipedia.org/wiki/Lijst_van_Nederlandse_banken
fmo.nl,Nederlandse Financierings-Maatschappij voor Ontwikkelingslanden (FMO),https://nl.wikipedia.org/wiki/Lijst_van_Nederlandse_banken
kempen.com,Kempen & Co,https://nl.wikipedia.org/wiki/Lijst_van_Nederlandse_banken
deutschebank.nl,Deutsche Bank Nederland,https://nl.wikipedia.org/wiki/Lijst_van_Nederlandse_banken
insingergilissen.nl,InsingerGilissen,https://nl.wikipedia.org/wiki/Lijst_van_Nederlandse_banken
knab.nl,Knab,https://www.bank.nl/banken/
