domain,name,source
aaenhunze.nl,Gemeente Aa en Hunze,https://organisaties.overheid.nl/archive/exportOO.xml
aaenmaas.nl,Aa en Maas,https://organisaties.overheid.nl/archive/exportOO.xml
aalsmeer.nl,Gemeente Aalsmeer,https://organisaties.overheid.nl/archive/exportOO.xml
aalten.nl,Gemeente Aalten,https://organisaties.overheid.nl/archive/exportOO.xml
achtkarspelen.nl,Gemeente Achtkarspelen,https://organisaties.overheid.nl/archive/exportOO.xml
acm.nl,Autoriteit Consument en Markt,https://organisaties.overheid.nl/archive/exportOO.xml
afm.nl,Stichting Autoriteit Financiële Markten,https://organisaties.overheid.nl/archive/exportOO.xml
agv.nl,"Amstel, Gooi en Vecht",https://organisaties.overheid.nl/archive/exportOO.xml
alblasserdam.nl,Gemeente Alblasserdam,https://organisaties.overheid.nl/archive/exportOO.xml
albrandswaard.nl,Gemeente Albrandswaard,https://organisaties.overheid.nl/archive/exportOO.xml
alkmaar.nl,Gemeente Alkmaar,https://organisaties.overheid.nl/archive/exportOO.xml
almelo.nl,Gemeente Almelo,https://organisaties.overheid.nl/archive/exportOO.xml
almere.nl,Gemeente Almere,https://organisaties.overheid.nl/archive/exportOO.xml
alphen-chaam.nl,Gemeente Alphen-Chaam,https://organisaties.overheid.nl/archive/exportOO.xml
alphenaandenrijn.nl,Gemeente Alphen aan den Rijn,https://organisaties.overheid.nl/archive/exportOO.xml
ameland.nl,Gemeente Ameland,https://organisaties.overheid.nl/archive/exportOO.xml
amersfoort.nl,Gemeente Amersfoort,https://organisaties.overheid.nl/archive/exportOO.xml
amstelveen.nl,Gemeente Amstelveen,https://organisaties.overheid.nl/archive/exportOO.xml
amsterdam.nl,Gemeente Amsterdam,https://organisaties.overheid.nl/archive/exportOO.xml
anwb.nl,Koninklijke Nederlandse Toeristenbond ANWB,https://organisaties.overheid.nl/archive/exportOO.xml
apeldoorn.nl,Gemeente Apeldoorn,https://organisaties.overheid.nl/archive/exportOO.xml
architectenregister.nl,Bureau Architectenregister,https://organisaties.overheid.nl/archive/exportOO.xml
argonaut.nl,Argonaut Advies B.V.,https://organisaties.overheid.nl/archive/exportOO.xml
arnhem.nl,Gemeente Arnhem,https://organisaties.overheid.nl/archive/exportOO.xml
assen.nl,Gemeente Assen,https://organisaties.overheid.nl/archive/exportOO.xml
asten.nl,Gemeente Asten,https://organisaties.overheid.nl/archive/exportOO.xml
atkm.nl,Autoriteit online Terroristisch en Kinderpornografisch Materiaal,https://organisaties.overheid.nl/archive/exportOO.xml
autoriteitnvs.nl,Autoriteit Nucleaire Veiligheid en Stralingsbescherming,https://organisaties.overheid.nl/archive/exportOO.xml
autoriteitpersoonsgegevens.nl,Autoriteit Persoonsgegevens,https://organisaties.overheid.nl/archive/exportOO.xml
baarle-nassau.nl,Gemeente Baarle-Nassau,https://organisaties.overheid.nl/archive/exportOO.xml
baarn.nl,Gemeente Baarn,https://organisaties.overheid.nl/archive/exportOO.xml
barendrecht.nl,Gemeente Barendrecht,https://organisaties.overheid.nl/archive/exportOO.xml
barneveld.nl,Gemeente Barneveld,https://organisaties.overheid.nl/archive/exportOO.xml
beekdaelen.nl,Gemeente Beekdaelen,https://organisaties.overheid.nl/archive/exportOO.xml
beesel.nl,Gemeente Beesel,https://organisaties.overheid.nl/archive/exportOO.xml
bergeijk.nl,Gemeente Bergeijk,https://organisaties.overheid.nl/archive/exportOO.xml
bergen-nh.nl,Gemeente Bergen (NH),https://organisaties.overheid.nl/archive/exportOO.xml
bergen.nl,Gemeente Bergen (L),https://organisaties.overheid.nl/archive/exportOO.xml
bergendal.nl,Gemeente Berg en Dal,https://organisaties.overheid.nl/archive/exportOO.xml
bergenopzoom.nl,Gemeente Bergen op Zoom,https://organisaties.overheid.nl/archive/exportOO.xml
bernheze.org,Gemeente Bernheze,https://organisaties.overheid.nl/archive/exportOO.xml
beuningen.nl,Gemeente Beuningen,https://organisaties.overheid.nl/archive/exportOO.xml
beverwijk.nl,Gemeente Beverwijk,https://organisaties.overheid.nl/archive/exportOO.xml
bkd.eu,Stichting Bloembollenkeuringsdienst,https://organisaties.overheid.nl/archive/exportOO.xml
bladel.nl,Gemeente Bladel,https://organisaties.overheid.nl/archive/exportOO.xml
blaricum.nl,Gemeente Blaricum,https://organisaties.overheid.nl/archive/exportOO.xml
blikopwerk.nl,Stichting Blik op Werk,https://organisaties.overheid.nl/archive/exportOO.xml
bloemendaal.nl,Gemeente Bloemendaal,https://organisaties.overheid.nl/archive/exportOO.xml
bodegraven-reeuwijk.nl,Gemeente Bodegraven-Reeuwijk,https://organisaties.overheid.nl/archive/exportOO.xml
boekel.nl,Gemeente Boekel,https://organisaties.overheid.nl/archive/exportOO.xml
bonairechamber.com,Kamer van Koophandel en Nijverheid Bonaire,https://organisaties.overheid.nl/archive/exportOO.xml
borger-odoorn.nl,Gemeente Borger-Odoorn,https://organisaties.overheid.nl/archive/exportOO.xml
borne.nl,Gemeente Borne,https://organisaties.overheid.nl/archive/exportOO.xml
borsele.nl,Gemeente Borsele,https://organisaties.overheid.nl/archive/exportOO.xml
boxtel.nl,Gemeente Boxtel,https://organisaties.overheid.nl/archive/exportOO.xml
brabant.nl,Provincie Noord-Brabant,https://organisaties.overheid.nl/archive/exportOO.xml
brabantsedelta.nl,Brabantse Delta,https://organisaties.overheid.nl/archive/exportOO.xml
breda.nl,Gemeente Breda,https://organisaties.overheid.nl/archive/exportOO.xml
bronckhorst.nl,Gemeente Bronckhorst,https://organisaties.overheid.nl/archive/exportOO.xml
brummen.nl,Gemeente Brummen,https://organisaties.overheid.nl/archive/exportOO.xml
brunssum.nl,Gemeente Brunssum,https://organisaties.overheid.nl/archive/exportOO.xml
bunnik.nl,Gemeente Bunnik,https://organisaties.overheid.nl/archive/exportOO.xml
bunschoten.nl,Gemeente Bunschoten,https://organisaties.overheid.nl/archive/exportOO.xml
bureauft.nl,Bureau Financieel Toezicht,https://organisaties.overheid.nl/archive/exportOO.xml
buren.nl,Gemeente Buren,https://organisaties.overheid.nl/archive/exportOO.xml
capelleaandenijssel.nl,Gemeente Capelle aan den IJssel,https://organisaties.overheid.nl/archive/exportOO.xml
castricum.nl,Gemeente Castricum,https://organisaties.overheid.nl/archive/exportOO.xml
cbg-meb.nl,College ter Beoordeling van Geneesmiddelen,https://organisaties.overheid.nl/archive/exportOO.xml
cbr.nl,Centraal Bureau Rijvaardigheidsbewijzen,https://organisaties.overheid.nl/archive/exportOO.xml
cbs.nl,Centraal Bureau voor de Statistiek,https://organisaties.overheid.nl/archive/exportOO.xml
ccmo.nl,Centrale Commissie Mensgebonden Onderzoek,https://organisaties.overheid.nl/archive/exportOO.xml
cea.nl,Commissie Eindtermen Accountantsopleiding,https://organisaties.overheid.nl/archive/exportOO.xml
centralecommissiedierproeven.nl,Centrale Commissie Dierproeven,https://organisaties.overheid.nl/archive/exportOO.xml
cibg.nl,CIBG,https://organisaties.overheid.nl/archive/exportOO.xml
ciz.nl,CIZ,https://organisaties.overheid.nl/archive/exportOO.xml
cjib.nl,Centraal Justitieel Incassobureau,https://organisaties.overheid.nl/archive/exportOO.xml
coa.nl,Centraal Orgaan opvang asielzoekers,https://organisaties.overheid.nl/archive/exportOO.xml
coevorden.nl,Gemeente Coevorden,https://organisaties.overheid.nl/archive/exportOO.xml
cokz.nl,Stichting Controle Orgaan Kwaliteits Zaken,https://organisaties.overheid.nl/archive/exportOO.xml
collegesanering.nl,College Sanering Zorginstellingen,https://organisaties.overheid.nl/archive/exportOO.xml
cranendonck.nl,Gemeente Cranendonck,https://organisaties.overheid.nl/archive/exportOO.xml
ctgb.nl,College voor de toelating van gewasbeschermingsmiddelen en biociden,https://organisaties.overheid.nl/archive/exportOO.xml
culemborg.nl,Gemeente Culemborg,https://organisaties.overheid.nl/archive/exportOO.xml
cultuurparticipatie.nl,Stichting Fonds voor Cultuurparticipatie,https://organisaties.overheid.nl/archive/exportOO.xml
cvdm.nl,Commissariaat voor de Media,https://organisaties.overheid.nl/archive/exportOO.xml
cvta.nl,College van toezicht collectieve beheersorganisaties auteurs- en naburige rechten,https://organisaties.overheid.nl/archive/exportOO.xml
cvte.nl,College voor Toetsen en Examens,https://organisaties.overheid.nl/archive/exportOO.xml
dalfsen.nl,Gemeente Dalfsen,https://organisaties.overheid.nl/archive/exportOO.xml
dantumadiel.frl,Gemeente Dantumadiel,https://organisaties.overheid.nl/archive/exportOO.xml
debilt.nl,Gemeente De Bilt,https://organisaties.overheid.nl/archive/exportOO.xml
defensie.nl,Inspecteur-Generaal der Krijgsmacht,https://organisaties.overheid.nl/archive/exportOO.xml
defryskemarren.nl,Gemeente De Fryske Marren,https://organisaties.overheid.nl/archive/exportOO.xml
delft.nl,Gemeente Delft,https://organisaties.overheid.nl/archive/exportOO.xml
denhaag.nl,Gemeente Den Haag,https://organisaties.overheid.nl/archive/exportOO.xml
denhelder.nl,Gemeente Den Helder,https://organisaties.overheid.nl/archive/exportOO.xml
derondevenen.nl,Gemeente De Ronde Venen,https://organisaties.overheid.nl/archive/exportOO.xml
deurne.nl,Gemeente Deurne,https://organisaties.overheid.nl/archive/exportOO.xml
deventer.nl,Gemeente Deventer,https://organisaties.overheid.nl/archive/exportOO.xml
dewolden.nl,Gemeente De Wolden,https://organisaties.overheid.nl/archive/exportOO.xml
dictu.nl,Dienst ICT Uitvoering,https://organisaties.overheid.nl/archive/exportOO.xml
diemen.nl,Gemeente Diemen,https://organisaties.overheid.nl/archive/exportOO.xml
dijkenwaard.nl,Gemeente Dijk en Waard,https://organisaties.overheid.nl/archive/exportOO.xml
dinkelland.nl,Gemeente Dinkelland,https://organisaties.overheid.nl/archive/exportOO.xml
dji.nl,Dienst Justitiële Inrichtingen,https://organisaties.overheid.nl/archive/exportOO.xml
dnb.nl,De Nederlandsche Bank,https://organisaties.overheid.nl/archive/exportOO.xml
doesburg.nl,Gemeente Doesburg,https://organisaties.overheid.nl/archive/exportOO.xml
doetinchem.nl,Gemeente Doetinchem,https://organisaties.overheid.nl/archive/exportOO.xml
dommel.nl,De Dommel,https://organisaties.overheid.nl/archive/exportOO.xml
dongen.nl,Gemeente Dongen,https://organisaties.overheid.nl/archive/exportOO.xml
donorgegevens.nl,College donorgegevens kunstmatige bevruchting,https://organisaties.overheid.nl/archive/exportOO.xml
dopingautoriteit.nl,Dopingautoriteit,https://organisaties.overheid.nl/archive/exportOO.xml
dordrecht.nl,Gemeente Dordrecht,https://organisaties.overheid.nl/archive/exportOO.xml
drechterland.nl,Gemeente Drechterland,https://organisaties.overheid.nl/archive/exportOO.xml
drimmelen.nl,Gemeente Drimmelen,https://organisaties.overheid.nl/archive/exportOO.xml
dronten.nl,Gemeente Dronten,https://organisaties.overheid.nl/archive/exportOO.xml
druten.nl,Gemeente Druten,https://organisaties.overheid.nl/archive/exportOO.xml
duiven.nl,Gemeente Duiven,https://organisaties.overheid.nl/archive/exportOO.xml
duo.nl,Dienst Uitvoering Onderwijs,https://organisaties.overheid.nl/archive/exportOO.xml
echt-susteren.nl,Gemeente Echt-Susteren,https://organisaties.overheid.nl/archive/exportOO.xml
edam-volendam.nl,Gemeente Edam-Volendam,https://organisaties.overheid.nl/archive/exportOO.xml
ede.nl,Gemeente Ede,https://organisaties.overheid.nl/archive/exportOO.xml
eemnes.nl,Gemeente Eemnes,https://organisaties.overheid.nl/archive/exportOO.xml
eemsdelta.nl,Gemeente Eemsdelta,https://organisaties.overheid.nl/archive/exportOO.xml
eersel.nl,Gemeente Eersel,https://organisaties.overheid.nl/archive/exportOO.xml
eerstekamer.nl,Eerste Kamer der Staten-Generaal,https://organisaties.overheid.nl/archive/exportOO.xml
eijsden-margraten.nl,Gemeente Eijsden-Margraten,https://organisaties.overheid.nl/archive/exportOO.xml
eindhoven.nl,Gemeente Eindhoven,https://organisaties.overheid.nl/archive/exportOO.xml
elburg.nl,Gemeente Elburg,https://organisaties.overheid.nl/archive/exportOO.xml
emissieautoriteit.nl,Nederlandse Emissieautoriteit,https://organisaties.overheid.nl/archive/exportOO.xml
emmen.nl,Gemeente Emmen,https://organisaties.overheid.nl/archive/exportOO.xml
enkhuizen.nl,Gemeente Enkhuizen,https://organisaties.overheid.nl/archive/exportOO.xml
enschede.nl,Gemeente Enschede,https://organisaties.overheid.nl/archive/exportOO.xml
epe.nl,Gemeente Epe,https://organisaties.overheid.nl/archive/exportOO.xml
ermelo.nl,Gemeente Ermelo,https://organisaties.overheid.nl/archive/exportOO.xml
etten-leur.nl,Gemeente Etten-Leur,https://organisaties.overheid.nl/archive/exportOO.xml
filmfonds.nl,Stichting Nederlands Fonds voor de Film,https://organisaties.overheid.nl/archive/exportOO.xml
flevoland.nl,Provincie Flevoland,https://organisaties.overheid.nl/archive/exportOO.xml
fmhaaglanden.nl,FMHaaglanden,https://organisaties.overheid.nl/archive/exportOO.xml
fondspodiumkunsten.nl,Stichting Nederlands Fonds voor Podiumkunsten,https://organisaties.overheid.nl/archive/exportOO.xml
forensischinstituut.nl,Nederlands Forensisch Instituut,https://organisaties.overheid.nl/archive/exportOO.xml
fryslan.frl,Provincie Fryslân,https://organisaties.overheid.nl/archive/exportOO.xml
geertruidenberg.nl,Gemeente Geertruidenberg,https://organisaties.overheid.nl/archive/exportOO.xml
gelderland.nl,Provincie Gelderland,https://organisaties.overheid.nl/archive/exportOO.xml
geldrop-mierlo.nl,Gemeente Geldrop-Mierlo,https://organisaties.overheid.nl/archive/exportOO.xml
gemeente-oldambt.nl,Gemeente Oldambt,https://organisaties.overheid.nl/archive/exportOO.xml
gemeente-steenbergen.nl,Gemeente Steenbergen,https://organisaties.overheid.nl/archive/exportOO.xml
gemeente.groningen.nl,Gemeente Groningen,https://organisaties.overheid.nl/archive/exportOO.xml
gemeentealtena.nl,Gemeente Altena,https://organisaties.overheid.nl/archive/exportOO.xml
gemeentebeek.nl,Gemeente Beek,https://organisaties.overheid.nl/archive/exportOO.xml
gemeenteberkelland.nl,Gemeente Berkelland,https://organisaties.overheid.nl/archive/exportOO.xml
gemeentebest.nl,Gemeente Best,https://organisaties.overheid.nl/archive/exportOO.xml
gemeentehulst.nl,Gemeente Hulst,https://organisaties.overheid.nl/archive/exportOO.xml
gemeentehw.nl,Gemeente Hoeksche Waard,https://organisaties.overheid.nl/archive/exportOO.xml
gemeentemaasgouw.nl,Gemeente Maasgouw,https://organisaties.overheid.nl/archive/exportOO.xml
gemeentemaashorst.nl,Gemeente Maashorst,https://organisaties.overheid.nl/archive/exportOO.xml
gemeentemaastricht.nl,Gemeente Maastricht,https://organisaties.overheid.nl/archive/exportOO.xml
gemeentesluis.nl,Gemeente Sluis,https://organisaties.overheid.nl/archive/exportOO.xml
gemeentestein.nl,Gemeente Stein,https://organisaties.overheid.nl/archive/exportOO.xml
gemeentewesterveld.nl,Gemeente Westerveld,https://organisaties.overheid.nl/archive/exportOO.xml
gemeentewestland.nl,Gemeente Westland,https://organisaties.overheid.nl/archive/exportOO.xml
gemert-bakel.nl,Gemeente Gemert-Bakel,https://organisaties.overheid.nl/archive/exportOO.xml
gemhofvanjustitie.org,"Gemeenschappelijk Hof van Justitie van Aruba, Curaçao, Sint Maarten en van Bonaire, Sint Eustatius en Saba",https://organisaties.overheid.nl/archive/exportOO.xml
