domain,name,source
frisiusmc.nl,Frisius MC,https://nvz-ziekenhuizen.nl/leden
zgv.nl,Ziekenhuis Gelderse Vallei,https://nvz-ziekenhuizen.nl/leden
etz.nl,ETZ,https://nvz-ziekenhuizen.nl/leden
maasstadziekenhuis.nl,Maasstad Ziekenhuis,https://nvz-ziekenhuizen.nl/leden
franciscus.nl,Franciscus Gasthuis & Vlietland,https://nvz-ziekenhuizen.nl/leden
cwz.nl,Canisius Wilhelmina Ziekenhuis,https://nvz-ziekenhuizen.nl/leden
spaarnegasthuis.nl,Spaarne Gasthuis,https://nvz-ziekenhuizen.nl/leden
haaglandenmc.nl,Haaglanden Medisch Centrum,https://nvz-ziekenhuizen.nl/leden
hagaziekenhuis.nl,HagaZiekenhuis,https://nvz-ziekenhuizen.nl/leden
jbz.nl,Jeroen Bosch Ziekenhuis,https://nvz-ziekenhuizen.nl/leden
catharinaziekenhuis.nl,Catharina Ziekenhuis,https://nvz-ziekenhuizen.nl/leden
dz.nl,Deventer Ziekenhuis,https://nvz-ziekenhuizen.nl/leden
rijnstate.nl,Rijnstate,https://nvz-ziekenhuizen.nl/leden
gelreziekenhuizen.nl,Gelre ziekenhuizen,https://nvz-ziekenhuizen.nl/leden
meandermc.nl,Meander Medisch Centrum,https://nvz-ziekenhuizen.nl/leden
zgt.nl,ZGT,https://nvz-ziekenhuizen.nl/leden
nwz.nl,Noordwest Ziekenhuisgroep,https://nvz-ziekenhuizen.nl/leden
zaansmc.nl,Zaans Medisch Centrum,https://nvz-ziekenhuizen.nl/leden
skbwinterswijk.nl,Streekziekenhuis Koningin Beatrix,https://nvz-ziekenhuizen.nl/leden
sjgweert.nl,SJG Weert,https://nvz-ziekenhuizen.nl/leden
ziekenhuisrivierenland.nl,Ziekenhuis Rivierenland,https://nvz-ziekenhuizen.nl/leden
zorgsaam.org,ZorgSaam Zorggroep Zeeuws-Vlaanderen,https://nvz-ziekenhuizen.nl/leden
ozg.nl,Ommelander Ziekenhuis Groningen,https://nvz-ziekenhuizen.nl/leden
laurentius.nl,Laurentius Ziekenhuis,https://nvz-ziekenhuizen.nl/leden
elkerliek.nl,Elkerliek Ziekenhuis,https://nvz-ziekenhuizen.nl/leden
rivas.nl,Rivas Beatrixziekenhuis,https://nvz-ziekenhuizen.nl/leden
nijsmellinghe.nl,Nij Smellinghe,https://nvz-ziekenhuizen.nl/leden
slingeland.nl,Slingeland Ziekenhuis,https://nvz-ziekenhuizen.nl/leden
ysl.nl,IJsselland Ziekenhuis,https://nvz-ziekenhuizen.nl/leden
wza.nl,Wilhelmina Ziekenhuis Assen,https://nvz-ziekenhuizen.nl/leden
ziekenhuisamstelland.nl,Ziekenhuis Amstelland,https://nvz-ziekenhuizen.nl/leden
spijkenissemc.nl,Spijkenisse Medisch Centrum,https://nvz-ziekenhuizen.nl/leden
ikazia.nl,Ikazia Ziekenhuis,https://nvz-ziekenhuizen.nl/leden
dijklander.nl,Dijklander Ziekenhuis,https://nvz-ziekenhuizen.nl/leden
ghz.nl,Groene Hart Ziekenhuis,https://nvz-ziekenhuizen.nl/leden
flevoziekenhuis.nl,Flevoziekenhuis,https://nvz-ziekenhuizen.nl/leden
mst.nl,MST,https://nvz-ziekenhuizen.nl/leden
annaziekenhuis.nl,Anna Ziekenhuis,https://nvz-ziekenhuizen.nl/leden
viecuri.nl,VieCuri MC,https://nvz-ziekenhuizen.nl/leden
treant.nl,Treant,https://nvz-ziekenhuizen.nl/leden
tergooi.nl,Tergooi MC,https://nvz-ziekenhuizen.nl/leden
stjansdal.nl,Ziekenhuis St Jansdal,https://nvz-ziekenhuizen.nl/leden
saxenburgh.nl,Saxenburgh Medisch Centrum,https://nvz-ziekenhuizen.nl/leden
rkz.nl,Rode Kruis Ziekenhuis,https://nvz-ziekenhuizen.nl/leden
rdgg.nl,Reinier de Graaf,https://nvz-ziekenhuizen.nl/leden
olvg.nl,OLVG,https://nvz-ziekenhuizen.nl/leden
mmc.nl,Maxima MC,https://nvz-ziekenhuizen.nl/leden
martiniziekenhuis.nl,Martini Ziekenhuis,https://nvz-ziekenhuizen.nl/leden
pantein.nl,Maasziekenhuis Pantein,https://nvz-ziekenhuizen.nl/leden
zuyderland.nl,Zuyderland,https://nvz-ziekenhuizen.nl/leden
isala.nl,Isala,https://nvz-ziekenhuizen.nl/leden
vanweelbethesda.nl,Van Weel-Bethesda Ziekenhuis,https://nvz-ziekenhuizen.nl/leden
diakonessenhuis.nl,Diakonessenhuis,https://nvz-ziekenhuizen.nl/leden
bravis.nl,Bravis Ziekenhuis,https://nvz-ziekenhuizen.nl/leden
bovenij.nl,Bovenij,https://nvz-ziekenhuizen.nl/leden
bernhoven.nl,Bernhoven,https://nvz-ziekenhuizen.nl/leden
mijnantonius.nl,Antonius Ziekenhuis Sneek,https://nvz-ziekenhuizen.nl/leden
antoniusziekenhuis.nl,St Antonius Ziekenhuis,https://nvz-ziekenhuizen.nl/leden
amphia.nl,Amphia Ziekenhuis,https://nvz-ziekenhuizen.nl/leden
alrijne.nl,Alrijne,https://nvz-ziekenhuizen.nl/leden
asz.nl,Albert Schweitzer ziekenhuis,https://nvz-ziekenhuizen.nl/leden
adrz.nl,ADRZ,https://nvz-ziekenhuizen.nl/leden
amsterdamumc.nl,Amsterdam UMC,https://www.umcnl.nl/over-de-umcs/
erasmusmc.nl,Erasmus MC,https://www.umcnl.nl/over-de-umcs/
lumc.nl,LUMC,https://www.umcnl.nl/over-de-umcs/
mumc.nl,Maastricht UMC+,https://www.umcnl.nl/over-de-umcs/
radboudumc.nl,Radboudumc,https://www.umcnl.nl/over-de-umcs/
umcg.nl,UMCG,https://www.umcnl.nl/over-de-umcs/
